time,ohc_mean,ohc_min,ohc_max
19970216,-1.1535840906972242e+23,-1.2113633583853463e+23,-1.1177384160439088e+23
19970316,-1.1411007475377007e+23,-1.1964405233940672e+23,-1.1054820723200032e+23
19970416,-1.127374362842627e+23,-1.1821759345243245e+23,-1.0911529843975972e+23
19970516,-1.1125171873315152e+23,-1.1678118986688103e+23,-1.0745273684112069e+23
19970616,-1.0940537499151868e+23,-1.1468583384525156e+23,-1.0561878100086288e+23
19970716,-1.0807601971731002e+23,-1.1298083557792375e+23,-1.0434205779429943e+23
19970816,-1.0708111661330869e+23,-1.1157561716799204e+23,-1.036346466262309e+23
19970916,-1.0633697153463952e+23,-1.106102690866653e+23,-1.0302769650445017e+23
19971016,-1.0606885543538354e+23,-1.1004234866045524e+23,-1.0280806495782257e+23
19971116,-1.056639373933666e+23,-1.094625537432277e+23,-1.022890686355645e+23
19980016,-1.0518515491314126e+23,-1.0893505987907273e+23,-1.0171276475864811e+23
19980116,-1.0487135204746543e+23,-1.0858878485912365e+23,-1.013764344372762e+23
19980216,-1.0488946612564669e+23,-1.0863841677881709e+23,-1.0146717221196853e+23
19980316,-1.0536227578192622e+23,-1.0916797404220133e+23,-1.020058455115985e+23
19980416,-1.0606833827202634e+23,-1.0972386535380667e+23,-1.028840129113386e+23
19980516,-1.069511631443811e+23,-1.102455886056391e+23,-1.040359293626286e+23
19980616,-1.0812079315372547e+23,-1.112758860995919e+23,-1.0534533744348769e+23
19980716,-1.090546864439348e+23,-1.122646318821827e+23,-1.0630165505696162e+23
19980816,-1.0968664940792594e+23,-1.1306509192215235e+23,-1.066265124582828e+23
19980916,-1.1003077921325252e+23,-1.1342231669399544e+23,-1.067603541850087e+23
19981016,-1.1022128988420958e+23,-1.138248206564921e+23,-1.0667275466865671e+23
19981116,-1.1040633663797876e+23,-1.1429669131224936e+23,-1.0657938228818236e+23
19990016,-1.1010803306054049e+23,-1.1417644520219857e+23,-1.0605934638501034e+23
19990116,-1.099034932263842e+23,-1.1394471998937159e+23,-1.0572400160135689e+23
19990216,-1.0949118702917858e+23,-1.1344177449618549e+23,-1.0526896089740712e+23
19990316,-1.088987577135564e+23,-1.129788795144856e+23,-1.044585066192644e+23
19990416,-1.0798451723140099e+23,-1.123252675969657e+23,-1.0326702004044846e+23
19990516,-1.0688078914600384e+23,-1.1156366911818062e+23,-1.0195166195388167e+23
19990616,-1.0575046895612699e+23,-1.1090952952890439e+23,-1.0028070039133765e+23
19990716,-1.0438481046556206e+23,-1.0992459829519796e+23,-9.854790440590983e+22
19990816,-1.0305228450709575e+23,-1.0876829608847082e+23,-9.717205622094801e+22
19990916,-1.017411269279014e+23,-1.0750218561442927e+23,-9.584611092225722e+22
19991016,-1.0045537445444507e+23,-1.0602127145256066e+23,-9.477790062544134e+22
19991116,-9.928916898225733e+22,-1.0455007005388842e+23,-9.388581860405254e+22
20000016,-9.827612372763708e+22,-1.0342474510659822e+23,-9.300548647409154e+22
20000116,-9.722496495973033e+22,-1.0246429243806642e+23,-9.194328698157832e+22
20000216,-9.626935020803824e+22,-1.0178845075278582e+23,-9.074395663341136e+22
20000316,-9.514728271435852e+22,-1.0055294073701238e+23,-8.975214239827444e+22
20000416,-9.428707582005237e+22,-9.943349523903572e+22,-8.907070423985688e+22
20000516,-9.333721832000392e+22,-9.836532922761617e+22,-8.81202067783014e+22
20000616,-9.226626713245482e+22,-9.713521677599612e+22,-8.731274589271102e+22
20000716,-9.154173553040284e+22,-9.626546510275971e+22,-8.676159161731372e+22
20000816,-9.076831780475572e+22,-9.534481449713468e+22,-8.621979657254205e+22
20000916,-8.994525359777635e+22,-9.439471110054658e+22,-8.566559636259678e+22
20001016,-8.878647621269403e+22,-9.326218489745222e+22,-8.462828826522403e+22
20001116,-8.752119590218377e+22,-9.227354119645297e+22,-8.32883465294913e+22
20010016,-8.626425092892389e+22,-9.118084708026289e+22,-8.20323672781115e+22
20010116,-8.47782976894322e+22,-8.966725630069795e+22,-8.068982171119421e+22
20010216,-8.337308851187974e+22,-8.809339910151948e+22,-7.958929846235191e+22
20010316,-8.215057603475086e+22,-8.701648334662389e+22,-7.831231367171011e+22
20010416,-8.061881398128942e+22,-8.583242320359346e+22,-7.658983768482842e+22
20010516,-7.920953812833342e+22,-8.452371918547611e+22,-7.5112637491452504e+22
20010616,-7.78439570996821e+22,-8.310013959986363e+22,-7.375088332152455e+22
20010716,-7.643012285330326e+22,-8.150157752962923e+22,-7.242622455112731e+22
20010816,-7.52987281045553e+22,-8.02626398992394e+22,-7.12324591508999e+22
20010916,-7.406417052504306e+22,-7.916703795888991e+22,-6.983937569016415e+22
20011016,-7.2872628927251645e+22,-7.819269769030719e+22,-6.8334900196245e+22
20011116,-7.172569173076965e+22,-7.70385076718053e+22,-6.6997938342265725e+22
20020016,-7.059691012064546e+22,-7.597478070841846e+22,-6.563206900817826e+22
20020116,-6.976418036320583e+22,-7.519810267688109e+22,-6.46210566784298e+22
20020216,-6.873081441670691e+22,-7.409193153880609e+22,-6.35258972167437e+22
20020316,-6.771677229030914e+22,-7.284323085502405e+22,-6.262282115806455e+22
20020416,-6.64055421281008e+22,-7.1267396575609164e+22,-6.151420381479196e+22
20020516,-6.539767165957238e+22,-7.002256898750666e+22,-6.069776049974478e+22
20020616,-6.449588333014668e+22,-6.885532040658524e+22,-6.003380006088111e+22
20020716,-6.360337699461299e+22,-6.777461562320316e+22,-5.934073736122538e+22
20020816,-6.251671184724405e+22,-6.646147443355295e+22,-5.843327854950885e+22
20020916,-6.1433584727742394e+22,-6.501239396565041e+22,-5.7630430100536835e+22
20021016,-6.021272574721673e+22,-6.343229965628799e+22,-5.691576138166879e+22
20021116,-5.897050754473832e+22,-6.191667850389105e+22,-5.5940167611189775e+22
20030016,-5.7462509485310656e+22,-6.018887776104993e+22,-5.467673377652676e+22
20030116,-5.574203362208346e+22,-5.828802620252709e+22,-5.304281732331761e+22
20030216,-5.414106235122841e+22,-5.6747653266578115e+22,-5.124062537123164e+22
20030316,-5.2528147308981604e+22,-5.528588428202543e+22,-4.941371353609101e+22
20030416,-5.101049398231281e+22,-5.375843817820688e+22,-4.778648417772857e+22
20030516,-4.91187245704485e+22,-5.192073721955894e+22,-4.57951971486384e+22
20030616,-4.752709091294087e+22,-5.027716842644843e+22,-4.4180705471222036e+22
20030716,-4.595871643347876e+22,-4.873158970463019e+22,-4.252990765010966e+22
20030816,-4.407795843529338e+22,-4.6982951556913155e+22,-4.0489522190231915e+22
20030916,-4.246102340495917e+22,-4.555794526846871e+22,-3.871464813523565e+22
20031016,-4.087150137272681e+22,-4.403642608940977e+22,-3.693508132942767e+22
20031116,-3.9159533484735675e+22,-4.246268710972152e+22,-3.514654616791173e+22
20040016,-3.772362041624365e+22,-4.109485720859627e+22,-3.373302968801661e+22
20040116,-3.6131414914173325e+22,-3.963615273594002e+22,-3.2147417530860747e+22
20040216,-3.43927742697391e+22,-3.8095348580326725e+22,-3.043236835506455e+22
20040316,-3.269752062857501e+22,-3.6574465159415185e+22,-2.882525169733798e+22
20040416,-3.128304458171928e+22,-3.519343839783185e+22,-2.7388622931805176e+22
20040516,-2.991451632241182e+22,-3.3814250418446375e+22,-2.6026704568140807e+22
20040616,-2.8063179890232083e+22,-3.2085241960305177e+22,-2.4042586706707458e+22
20040716,-2.6206735756829963e+22,-3.0286410444141165e+22,-2.214995327925465e+22
20040816,-2.46486386230725e+22,-2.8712061226703403e+22,-2.0798795703949927e+22
20040916,-2.2859891041774137e+22,-2.683336831659715e+22,-1.917923222275321e+22
20041016,-2.161098818389882e+22,-2.556609938537645e+22,-1.8012929116278561e+22
20041116,-2.0190099386473686e+22,-2.4108609758719686e+22,-1.670064811415718e+22
20050016,-1.8739237810596011e+22,-2.265339332397483e+22,-1.5313143252897346e+22
20050116,-1.7503668375454984e+22,-2.117680777812307e+22,-1.4268153656497672e+22
20050216,-1.6515341033564554e+22,-1.9842396931857716e+22,-1.346026849429239e+22
20050316,-1.5734493344312186e+22,-1.8760462478127374e+22,-1.2630932405586967e+22
20050416,-1.4933786675967953e+22,-1.7914586075365502e+22,-1.1784600951612745e+22
20050516,-1.4316474353159602e+22,-1.7262468977621912e+22,-1.1312668934310575e+22
20050616,-1.388823072376764e+22,-1.6903224716645915e+22,-1.1025127421251867e+22
20050716,-1.3077535925257328e+22,-1.621004623694976e+22,-1.0219923964974699e+22
20050816,-1.228524381060437e+22,-1.569744192993783e+22,-9.191539234226134e+21
20050916,-1.1657582825714773e+22,-1.524528188781222e+22,-8.357936172523761e+21
20051016,-1.0567129789833012e+22,-1.4203215362133192e+22,-7.196304096375129e+21
20051116,-9.674824122501463e+21,-1.3197758269437585e+22,-6.297939178206176e+21
20060016,-9.010348823684145e+21,-1.2348880498999045e+22,-5.55875208891054e+21
20060116,-8.595983712083869e+21,-1.1904821306703168e+22,-5.067737334824783e+21
20060216,-8.088522853616368e+21,-1.1412155561141514e+22,-4.6502997643512224e+21
20060316,-7.230608910765486e+21,-1.041868400134172e+22,-4.0653781557228533e+21
20060416,-6.393780783839956e+21,-9.48091446293312e+21,-3.4740141478275307e+21
20060516,-5.182238399863422e+21,-8.270124893164298e+21,-2.2422697042925228e+21
20060616,-4.175416725863221e+21,-7.15104793975714e+21,-1.2763969536091926e+21
20060716,-3.7979441172479444e+21,-6.633537805376121e+21,-8.841236682660297e+20
20060816,-3.282121828799772e+21,-5.935822699655328e+21,-2.706089401659659e+20
20060916,-2.900374375270698e+21,-5.405269108678529e+21,1.7087658568035792e+20
20061016,-2.7952595952941835e+21,-5.254324915455207e+21,4.745047220455533e+20
