time,ohc_mean,ohc_min,ohc_max
20030316,-9.31377854177051e+22,-9.729272266696404e+22,-8.902078258858742e+22
20030416,-9.06923915435779e+22,-9.498172829037656e+22,-8.6512145490553e+22
20030516,-8.786371034138402e+22,-9.22060089694406e+22,-8.364781521984873e+22
20030616,-8.531737736386853e+22,-8.96114799699129e+22,-8.106079372089986e+22
20030716,-8.279295710070001e+22,-8.70746469605114e+22,-7.839670024502793e+22
20030816,-8.002372896802697e+22,-8.438312280990912e+22,-7.5523827021130536e+22
20030916,-7.748562376679073e+22,-8.19552802891897e+22,-7.27843267742978e+22
20031016,-7.493329409625144e+22,-7.937747127857858e+22,-7.000220333469173e+22
20031116,-7.224960568358081e+22,-7.676093018527216e+22,-6.7029874117823345e+22
20040016,-6.991069506916315e+22,-7.457031852792418e+22,-6.4588345533136326e+22
20040116,-6.748995570083602e+22,-7.2381628406417215e+22,-6.20392878778463e+22
20040216,-6.500030450281068e+22,-7.0157923548407374e+22,-5.943816410726425e+22
20040316,-6.259035598437073e+22,-6.810357955678456e+22,-5.697007892147453e+22
20040416,-6.047473338911812e+22,-6.607467639945676e+22,-5.477516369938264e+22
20040516,-5.848074881644114e+22,-6.408697967751953e+22,-5.275239406944734e+22
20040616,-5.609644634631921e+22,-6.17372310755386e+22,-5.029066608983163e+22
20040716,-5.372339814648611e+22,-5.932734665833333e+22,-4.797679522663216e+22
20040816,-5.1656850713423005e+22,-5.716482620366107e+22,-4.612730872305936e+22
20040916,-4.939374461287325e+22,-5.472822868526605e+22,-4.413921568435492e+22
20041016,-4.767198608694219e+22,-5.291474133001467e+22,-4.253205886953167e+22
20041116,-4.5806404994321055e+22,-5.091835303609658e+22,-4.085308840565031e+22
20050016,-4.38486927132829e+22,-4.880446057370082e+22,-3.912500037068295e+22
20050116,-4.208923684420093e+22,-4.6632662703796184e+22,-3.778904694772024e+22
20050216,-4.051098491991608e+22,-4.459019883269041e+22,-3.66596567511664e+22
20050316,-3.904862378707238e+22,-4.282568737278674e+22,-3.540889548290485e+22
20050416,-3.7517524213116132e+22,-4.127135928279242e+22,-3.3987569573605883e+22
20050516,-3.6101630132857726e+22,-3.969103716634886e+22,-3.2811822512537634e+22
20050616,-3.480403645749111e+22,-3.8331920604602665e+22,-3.173353559920549e+22
20050716,-3.307535848850257e+22,-3.6641253917189057e+22,-3.0048913023966787e+22
20050816,-3.1327370472921747e+22,-3.512459581097791e+22,-2.8074509426929676e+22
20050916,-2.9723291024018876e+22,-3.3672648801912546e+22,-2.6311421104508258e+22
20051016,-2.7680078157382563e+22,-3.1666214009300706e+22,-2.4305651859478846e+22
20051116,-2.592614246295385e+22,-2.990547722265972e+22,-2.260264061783663e+22
20060016,-2.446150751895329e+22,-2.837436190486977e+22,-2.1043682358300416e+22
20060116,-2.319786903321721e+22,-2.7201682733397677e+22,-1.9633574352723275e+22
20060216,-2.1855371035570994e+22,-2.587905715058221e+22,-1.826842981670084e+22
20060316,-2.0187875856130163e+22,-2.3993542506765393e+22,-1.67802003078375e+22
20060416,-1.8551769358717222e+22,-2.210648340975136e+22,-1.5323801302890495e+22
20060516,-1.6576249150447494e+22,-2.00699619445289e+22,-1.3295866982432533e+22
20060616,-1.4840743743188854e+22,-1.8175783407103938e+22,-1.1564780676013256e+22
20060716,-1.378253562214039e+22,-1.7052457307448357e+22,-1.0483618495794017e+22
20060816,-1.2654485415360683e+22,-1.5972144806358814e+22,-9.228704345726079e+21
20060916,-1.1673567967909656e+22,-1.5044847544458732e+22,-8.119948329114963e+21
20061016,-1.0945725216204133e+22,-1.4505856365755063e+22,-7.132205113478703e+21
20061116,-1.02291407317321e+22,-1.412732074812524e+22,-6.132873666876258e+21
20070016,-9.302130170860797e+21,-1.3636533566558154e+22,-4.825845926070217e+21
20070116,-8.354036547827665e+21,-1.3206755054118188e+22,-3.3662520863125537e+21
20070216,-7.419370332023546e+21,-1.2740872872315452e+22,-1.966082094281888e+21
20070316,-6.673695418090965e+21,-1.2391075286857833e+22,-8.491801449322697e+20
20070416,-5.97176377030655e+21,-1.1835356425588218e+22,-4.8811021380107985e+19
20070516,-5.255490869251236e+21,-1.1194419607744568e+22,6.028661778873787e+20
20070616,-4.257265459804776e+21,-1.0207034756666157e+22,1.521896332071483e+21
20070716,-3.235682074595965e+21,-9.196104007748443e+21,2.4268271231971733e+21
20070816,-2.213675407317176e+21,-8.129032699425819e+21,3.4160014045275263e+21
20070916,-9.693086031340465e+20,-6.938549391251849e+21,4.6376392075487614e+21
20071016,2.8160240981511225e+20,-5.426827887007248e+21,5.491694522533908e+21
